Analysis Id,Sample Id,Sample#,Type,Fixed?,Latitude,Longitude,Distance(miles),Bearing,Direction,Collection Date,Source,Description,Filter Type,Volume,Volume Unit,Uncertainty%,MDA,Method Code,Moisture%,Nuclide,Result,Unit
200609,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,4.82741568551064E-12,Gamma Spectroscopy,,Ba-140,0,uCi/mL
200611,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,1.12355278772354E-11,Gamma Spectroscopy,,Ce-144,0,uCi/mL
200613,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,2.79001358837444E-12,Gamma Spectroscopy,,Cs-134,0,uCi/mL
200615,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,7.04514170042097E-12,Gamma Spectroscopy,,Cs-136,0,uCi/mL
200617,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,2.57833120648783E-12,Gamma Spectroscopy,,Cs-137,0,uCi/mL
200619,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,1.25853597229402E-11,Gamma Spectroscopy,,I-132,0,uCi/mL
200621,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,1.01870331530762E-10,Gamma Spectroscopy,,Np-239,0,uCi/mL
200623,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,4.25182794483185E-11,Gamma Spectroscopy,,Sb-127,0,uCi/mL
200625,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,3.8816008E-08,Gamma Spectroscopy,,Sr-89gamma,0,uCi/mL
200627,7233,SCF-00001,Air Filter,No,37.354164,140.322898,39.3215274188839,263.41605560458,W,3/21/2011 4:54:57 PM,DOE,"Field Team: Charcoal  Paired with SCF-07628  I-132 (2.3h halflife) activity is assigned to be equal to Te-132 activity, appropriate of conservative dose estimation.  Results verified by LLNL and Triage.;",charcoal,22,cubic feet,0,2.67257753379822E-11,Gamma Spectroscopy,,Te-129m,0,uCi/mL
